Date,Open,High,Low,Close,Volume,Price to Earnings Ratio,Price to Sales Ratio
2017-03-31,278.730,279.680,276.320,278.300,3293797,N/A,6.1630,
2017-03-30,278.110,282.000,277.210,277.920,4142312,N/A,6.1546,
2017-03-29,278.340,279.600,275.540,277.380,3672734,N/A,6.1427,
2017-03-28,277.010,280.680,275.000,277.450,7978985,N/A,6.1442,
2017-03-27,260.600,270.570,259.750,270.220,6224614,N/A,5.9841,
2017-03-24,255.700,263.890,255.010,263.160,5647253,N/A,5.8277,
2017-03-23,255.250,257.670,253.300,254.780,3311010,N/A,5.6422,
2017-03-22,251.460,255.070,250.510,255.010,4057182,N/A,5.6473,
2017-03-21,262.830,264.800,250.240,250.680,6908554,N/A,5.5514,
2017-03-20,260.600,264.550,258.821,261.920,3614294,N/A,5.8003,
2017-03-17,264.000,265.330,261.200,261.500,6497496,N/A,5.7910,
2017-03-16,262.400,265.750,259.060,262.050,7132153,N/A,5.8032,
2017-03-15,257.000,261.000,254.270,255.730,5330806,N/A,5.6632,
2017-03-14,246.110,258.120,246.020,258.000,7598446,N/A,5.7135,
2017-03-13,244.820,246.850,242.781,246.170,3022625,N/A,5.4515,
2017-03-10,246.210,246.500,243.000,243.690,3066272,N/A,5.3966,
2017-03-09,247.630,248.660,243.000,244.900,3879293,N/A,5.4234,
2017-03-08,247.000,250.070,245.320,246.870,3728649,N/A,5.4670,
2017-03-07,251.920,253.890,248.320,248.590,3459470,N/A,5.5051,
2017-03-06,247.910,251.700,247.510,251.210,3355500,N/A,5.5631,
2017-03-03,250.740,251.900,249.000,251.570,2929234,N/A,5.5711,
2017-03-02,249.710,253.280,248.270,250.480,3351833,N/A,5.5469,
2017-03-01,254.180,254.850,249.110,250.020,4809488,N/A,5.5368,
2017-02-28,244.190,251.000,243.900,249.990,6078145,N/A,5.5361,
2017-02-27,248.170,248.360,242.010,246.230,11460810,N/A,6.1866,
2017-02-24,252.660,258.250,250.200,257.000,8171626,N/A,6.4572,
2017-02-23,264.000,264.660,255.560,255.990,14915249,N/A,6.4318,
2017-02-22,280.310,283.450,272.600,273.510,8754975,N/A,6.8720,
2017-02-21,275.450,281.400,274.010,277.390,5676747,N/A,6.9695,
2017-02-17,265.800,272.890,264.150,272.230,6257149,N/A,6.8398,
